Time,Cores,Active
35500,small,2
35500,medium,0
35500,large,3
35600,small,2
35600,medium,0
35600,large,3
35700,small,2
35700,medium,0
35700,large,3
35800,small,2
35800,medium,0
35800,large,3
35900,small,0
35900,medium,0
35900,large,0
36000,small,0
36000,medium,0
36000,large,0
36100,small,2
36100,medium,0
36100,large,3
36200,small,2
36200,medium,0
36200,large,3
36300,small,2
36300,medium,0
36300,large,3
36400,small,2
36400,medium,0
36400,large,3
36500,small,2
36500,medium,0
36500,large,3
36600,small,2
36600,medium,0
36600,large,3
36700,small,2
36700,medium,0
36700,large,3
36800,small,2
36800,medium,0
36800,large,3
36900,small,2
36900,medium,0
36900,large,3
37000,small,2
37000,medium,0
37000,large,3
37100,small,2
37100,medium,0
37100,large,3
37200,small,2
37200,medium,0
37200,large,3
37300,small,2
37300,medium,0
37300,large,3
37400,small,0
37400,medium,0
37400,large,0
37500,small,0
37500,medium,0
37500,large,0
37600,small,2
37600,medium,0
37600,large,3
37700,small,2
37700,medium,0
37700,large,3
37800,small,2
37800,medium,0
37800,large,3
37900,small,2
37900,medium,0
37900,large,3
38000,small,2
38000,medium,0
38000,large,3
38100,small,2
38100,medium,0
38100,large,3
38200,small,2
38200,medium,0
38200,large,3
38300,small,2
38300,medium,0
38300,large,3
38400,small,2
38400,medium,0
38400,large,3
38500,small,0
38500,medium,0
38500,large,0
38600,small,0
38600,medium,0
38600,large,0
38700,small,2
38700,medium,0
38700,large,3
38800,small,2
38800,medium,0
38800,large,3
38900,small,2
38900,medium,0
38900,large,3
39000,small,2
39000,medium,0
39000,large,3
39100,small,2
39100,medium,0
39100,large,3
39200,small,0
39200,medium,0
39200,large,0
39300,small,0
39300,medium,0
39300,large,0
39400,small,2
39400,medium,0
39400,large,3
39500,small,2
39500,medium,0
39500,large,3
39600,small,2
39600,medium,0
39600,large,3
39700,small,0
39700,medium,0
39700,large,0
39800,small,0
39800,medium,0
39800,large,0
39900,small,2
39900,medium,0
39900,large,3
40000,small,2
40000,medium,0
40000,large,3
40100,small,2
40100,medium,0
40100,large,3
40200,small,2
40200,medium,0
40200,large,3
40300,small,2
40300,medium,0
40300,large,3
40400,small,0
40400,medium,0
40400,large,0
40500,small,0
40500,medium,0
40500,large,0
40600,small,2
40600,medium,0
40600,large,3
40700,small,2
40700,medium,0
40700,large,3
40800,small,2
40800,medium,0
40800,large,3
40900,small,0
40900,medium,0
40900,large,0
41000,small,0
41000,medium,0
41000,large,0
41100,small,2
41100,medium,0
41100,large,3
41200,small,2
41200,medium,0
41200,large,3
41300,small,2
41300,medium,0
41300,large,3
41400,small,0
41400,medium,0
41400,large,0
41500,small,0
41500,medium,0
41500,large,0
41600,small,2
41600,medium,0
41600,large,3
41700,small,2
41700,medium,0
41700,large,3
41800,small,2
41800,medium,0
41800,large,3
41900,small,2
41900,medium,0
41900,large,3
42000,small,0
42000,medium,0
42000,large,0
42100,small,0
42100,medium,0
42100,large,0
42200,small,2
42200,medium,0
42200,large,3
42300,small,2
