Time (MS),Core Type,Frequency
15500,small 1,738000
15500,small 2,738000
15500,small 3,738000
15500,small 4,0
15500,medium1,1197000
15500,medium2,0
15500,large1,500000
15500,large2,500000
15600,small 1,1328000
15600,small 2,1328000
15600,small 3,1328000
15600,small 4,0
15600,medium1,2130000
15600,medium2,0
15600,large1,1106000
15600,large2,0
15700,small 1,930000
15700,small 2,930000
15700,small 3,0
15700,small 4,0
15700,medium1,1663000
15700,medium2,0
15700,large1,500000
15700,large2,0
15800,small 1,300000
15800,small 2,300000
15800,small 3,300000
15800,small 4,0
15800,medium1,1836000
15800,medium2,0
15800,large1,500000
15800,large2,0
15900,small 1,1328000
15900,small 2,1328000
15900,small 3,1328000
15900,small 4,0
15900,medium1,2130000
15900,medium2,0
15900,large1,1106000
15900,large2,0
16000,small 1,1328000
16000,small 2,1328000
16000,small 3,1328000
16000,small 4,0
16000,medium1,2130000
16000,medium2,0
16000,large1,1106000
16000,large2,0
16100,small 1,1803000
16100,small 2,1803000
16100,small 3,1803000
16100,small 4,0
16100,medium1,553000
16100,medium2,0
16100,large1,2401000
16100,large2,0
16200,small 1,930000
16200,small 2,930000
16200,small 3,930000
16200,small 4,0
16200,medium1,799000
16200,medium2,0
16200,large1,851000
16200,large2,0
16300,small 1,930000
16300,small 2,930000
16300,small 3,930000
16300,small 4,0
16300,medium1,799000
16300,medium2,0
16300,large1,851000
16300,large2,0
16400,small 1,930000
16400,small 2,930000
16400,small 3,930000
16400,small 4,0
16400,medium1,799000
16400,medium2,0
16400,large1,851000
16400,large2,0
16500,small 1,738000
16500,small 2,738000
16500,small 3,738000
16500,small 4,0
16500,medium1,910000
16500,medium2,910000
16500,large1,1106000
16500,large2,0
16600,small 1,930000
16600,small 2,930000
16600,small 3,0
16600,small 4,0
16600,medium1,799000
16600,medium2,0
16600,large1,1582000
16600,large2,0
16700,small 1,930000
16700,small 2,930000
16700,small 3,0
16700,small 4,0
16700,medium1,799000
16700,medium2,0
16700,large1,1582000
16700,large2,0
16800,small 1,300000
16800,small 2,300000
16800,small 3,300000
16800,small 4,0
16800,medium1,1836000
16800,medium2,0
16800,large1,500000
16800,large2,0
16900,small 1,1328000
16900,small 2,1328000
16900,small 3,1328000
16900,small 4,0
16900,medium1,2130000
16900,medium2,0
16900,large1,1106000
16900,large2,0
17000,small 1,1328000
17000,small 2,1328000
17000,small 3,1328000
17000,small 4,0
17000,medium1,2130000
17000,medium2,0
17000,large1,1106000
17000,large2,0
17100,small 1,1803000
17100,small 2,1803000
17100,small 3,1803000
17100,small 4,0
17100,medium1,553000
17100,medium2,0
17100,large1,2401000
17100,large2,0
17200,small 1,1598000
17200,small 2,0
17200,small 3,0
17200,small 4,0
17200,medium1,1663000
17200,medium2,1663000
17200,large1,2507000
17200,large2,0
17300,small 1,1803000
17300,small 2,1803000
17300,small 3,0
17300,small 4,0
17300,medium1,1663000
17300,medium2,1663000
17300,large1,2704000
17300,large2,0
17400,small 1,1803000
17400,small 2,1803000
17400,small 3,0
17400,small 4,0
17400,medium1,1663000
17400,medium2,1663000
17400,large1,2704000
17400,large2,0
17500,small 1,1803000
17500,small 2,1803000
17500,small 3,0
17500,small 4,0
17500,medium1,1663000
17500,medium2,1663000
17500,large1,2704000
17500,large2,0
17600,small 1,1803000
17600,small 2,1803000
17600,small 3,0
17600,small 4,0
17600,medium1,1663000
17600,medium2,1663000
17600,large1,2704000
17600,large2,0
17700,small 1,1803000
17700,small 2,1803000
17700,small 3,0
17700,small 4,0
17700,medium1,1663000
17700,medium2,1663000
17700,large1,2704000
17700,large2,0
17800,small 1,1803000
17800,small 2,1803000
17800,small 3,0
17800,small 4,0
17800,medium1,1663000
17800,medium2,1663000
17800,large1,2704000
17800,large2,0
17900,small 1,930000
17900,small 2,930000
17900,small 3,930000
17900,small 4,0
17900,medium1,799000
17900,medium2,0
17900,large1,851000
17900,large2,0
